Id,Cardinality,pred_log,q
1,765550,13.482501603070617,1.0680660688282908
2,87,4.586992581248731,1.1172259901075774
3,38084,10.710016430587517,1.1763831270038498
4,882134,13.698545639001908,1.0084810258786712
5,2630809,14.864320005810296,1.084932414251176
6,92541,11.212914084878362,1.2492039175824674
7,1413,7.873192465800187,1.8577037720563312
8,5898132,15.56207931983867,1.0284646952829308
9,33669244,17.335181287157692,1.0030906862381526
10,513,5.817686337490179,1.5304601156326243
11,33,5.557476432960384,7.823272200249155
12,2458010,14.821985363144313,1.1130704416590107
13,41,3.9237213668317854,1.209472018096274
14,759389,13.480407202150547,1.0616917617209294
15,98310,12.045474828013587,1.7325389374920472
16,1483072,14.090548921792847,1.126457787499019
17,20874,9.645754454791359,1.350628299679337
18,146,4.286676596627828,2.035570223202128
19,152,5.811585562437958,2.1917665737576773
20,3878730,15.391693884891026,1.2469185398909117
21,5663516,15.507407637639172,1.0430488440400167
22,4,4.088421024868455,14.66140958305769
23,4721288,15.387225314165391,1.0198268977279776
24,188979867,19.188021619024457,1.1398202457894362
25,1274246,14.05118250408662,1.0067058593092224
26,3257,6.00472690516341,8.05509661786418
27,4237,6.4410148178912365,6.767907758871998
28,1878167,14.296974184827471,1.1604795121373197
29,4439418,14.909077077476939,1.4872921272387238
30,134619,12.008590689566788,1.2194266053800022
31,917262,12.57846805259852,3.160353275934136
32,426812,12.974793048361006,1.010749177817696
33,4517959,15.118140525352715,1.228053809554456
34,11610705,16.026435829571607,1.2725240325725322
35,12939,4.423089451247583,157.11554509661664
36,1351485,14.103000063671596,1.0138097175982923
37,809441,13.544883174085248,1.0610057739961127
38,68907509,18.035749803988832,1.012604702761271
39,652311,13.193696892452301,1.2148027171595142
40,310128,12.547302401359168,1.1023470048421053
41,64248,10.832760356129237,1.2684114109436881
42,42031831,17.61420990333752,1.0621255230359254
43,3853927,14.868484344894432,1.344630414347421
44,11203959,16.16535468906298,1.0686788460627812
45,26553,9.503572115978002,1.980601301775467
46,63,3.3744011404943266,2.2335049453480336
47,783278,13.10381011236448,1.595895278260494
48,285875,12.000789440770205,1.7551013945784282
49,3535122,15.131057825709911,1.0542179249295778
50,68921,11.724441664467504,1.7926901535890787
51,47470011,17.896666272518956,1.2473951953592066
52,97,4.710502740551947,1.1351340656322297
53,2520289,14.822695550220518,1.0863365253500203
54,167662,12.58443755042302,1.7414686318033548
55,6642958,15.83947604950121,1.139293135129901
56,13036056,16.840961694576333,1.580485425708123
57,12,3.8247293623321403,3.735033163540447
58,121134429,18.284651063512683,1.3878564274406286
59,45033,8.603101050312448,8.266682961228526
60,3781,7.852671537243768,1.470292049719469
61,486093,12.881686760497773,1.236730280425409
62,227437,12.2655708056777,1.0715031347144617
63,1331027,14.091709032807579,1.009800825091251
64,717685,15.140915114710744,5.244232052194879
65,3166135,15.011576884265216,1.0445168383107206
66,2058046,14.488496066933262,1.0499809174784205
67,3172,8.16128623256024,1.1039372573158115
68,4987095,15.321227856974733,1.1064276574586105
69,1997291,14.50855884689151,1.0012568156136568
70,8755020,16.028048045420917,1.0438440781649876
71,41350,10.570223532680886,1.0614435668695357
72,11,2.820946316002225,1.4357031262472824
73,2363889,14.772303310111718,1.1012922069082693
74,940676,13.369413464478505,1.4695292956087298
75,244579,11.875174148151627,1.7025488590744677
76,95234,11.380066463354076,1.0876694168721612
77,4245795,15.289783213220831,1.0287488394898952
78,168,3.4508008460377413,5.503572028726
79,15288,9.695507897124292,1.0624981173439205
80,864767,13.597036063063296,1.075924795438556
81,5676669,15.954714753022197,1.4960666942308443
82,114,4.276895520510203,1.6052603242561099
83,946981,13.766876929349545,1.0058586661511757
84,20,3.1160053889388477,1.0778048303708783
85,19671,9.787518553460565,1.1045503676985777
86,1,1.819723584622678,5.170152689061472
87,1434018,14.51615506292679,1.4051776193998833
88,16153857,16.389388476391233,1.2315591921377405
89,4612417,16.003685865134486,1.9336766301195298
90,6220162,15.115065709956378,1.695946635723459
91,206617055,18.68306176359973,1.589335343941455
92,70594,11.63378637528553,1.5985182072141944
93,193293744,18.424006500475585,1.9265196578389756
94,4714905,15.374234336704575,1.008026844674181
95,93,3.8427379222039226,2.0371045623793704
96,1,2.674139040695026,13.499860674062582
97,3079,8.043099074177986,1.0104720147146784
98,1,3.455518965521336,30.674722506490685
99,133372936,18.818867433536482,1.1165098723829474
100,30151,8.771061834907698,4.6789171500919
101,4051006,15.208032439574023,1.0064644169042591
102,596661,13.267271352128413,1.0323469165043628
103,55,3.395086448393657,1.908580320256871
104,6614625,15.645781606088283,1.0607882022874426
105,1792,9.685842485875815,8.977242223794843
106,4922243,15.140782390489623,1.3079914994602972
107,2915570,14.813367518864894,1.0748797004546475
108,320853,12.603970249547812,1.0776378419854549
109,83241709,17.936838329581605,1.3504269165159504
110,2154390,14.756944412947512,1.18996731942007
111,15059258,16.489647621873694,1.0385816213031405
112,8894283,16.126911827219164,1.1342736150863417
113,3799422,15.166670295286652,1.016444271301524
114,3651102,15.111407584086013,1.0008680892063306
115,295578,12.564871100281687,1.0323321155575769
116,46,3.4494505184375903,1.509033459161362
117,1059867,13.691815957418171,1.199421264373057
118,1148598,13.87029752529544,1.0873635964393973
119,114,5.130094628859764,1.473974672796617
120,37317,10.48153730749711,1.0467551106916793
121,1409,7.134576470382182,1.1239580431671239
122,33171,10.347295442832845,1.0641410163758935
