Id,Cardinality,PredLog,QError
1,765550,13.484517543933352,1.0659150766630578
2,87,4.673614275767686,1.2193571865916857
3,38084,10.713003108852067,1.1799019355022051
4,882134,13.69332572838168,1.003230554561348
5,2630809,14.870050101625624,1.091167028525714
6,92541,11.216909575571561,1.2442226258281053
7,1413,7.968853809478752,2.0442629144048126
8,5898132,15.561420625081576,1.029142362867315
9,33669244,17.35834363125251,1.0265957842906115
10,513,5.828806954028606,1.513484805985962
11,33,5.791016864185427,9.889264282841511
12,2458010,14.796702289133888,1.0852813659407774
13,41,3.953942007374695,1.2473292801816929
14,759389,13.469721943325691,1.073097054755898
15,98310,12.036656279968028,1.717327539728881
16,1483072,14.05449457571302,1.167812548107621
17,20874,9.60463452820757,1.4073275256450617
18,146,4.218879837611662,2.1804935364085636
19,152,5.8901611781745356,2.3714706559928107
20,3878730,15.385011963979997,1.2386145014627477
21,5663516,15.540592199511268,1.0090037292737628
22,4,4.020590668258245,13.683504105155341
23,4721288,15.376065999382638,1.0085095901330725
24,188979867,19.187100871737204,1.138771242392923
25,1274246,14.056362324596831,1.001504781506708
26,3257,6.0663736662100325,7.5724026109038975
27,4237,6.493368626189296,6.422174150116653
28,1878167,14.296694362021844,1.1608042864084827
29,4439418,14.920011816374116,1.4711175642495693
30,134619,11.945087953957266,1.1443967218514994
31,917262,12.622155317846245,3.025258084409396
32,426812,12.948677515151019,1.0155433388142885
33,4517959,15.089050769017456,1.2643022790837126
34,11610705,16.027505130279632,1.2711640488199292
35,12939,4.439250499858891,154.5667123122734
36,1351485,14.099762304303285,1.0170975116502574
37,809441,13.581723204886195,1.0226294715252353
38,68907509,18.063961114540728,1.015809047556536
39,652311,13.255610158978202,1.1418711911906505
40,310128,12.546400496084033,1.103341669437108
41,64248,10.836148040476212,1.2641216192481577
42,42031831,17.642232969108605,1.092310499573486
43,3853927,14.951802198010398,1.2371388189856118
44,11203959,16.144768438478625,1.0909069503815332
45,26553,9.51850359801488,1.9512455238598871
46,63,3.4411429420619584,2.0845311506786466
47,783278,13.102803681476672,1.5975022483545425
48,285875,11.980982200163346,1.7902119011219235
49,3535122,15.137646209940241,1.061186449998779
50,68921,11.743069451134748,1.8263972431695057
51,47470011,17.90891551606534,1.2627688085035744
52,97,4.893050802970839,1.3645341089240355
53,2520289,14.824597713891196,1.088404882530707
54,167662,12.581504297511621,1.736367930854116
55,6642958,15.803206881338973,1.0987122807009335
56,13036056,16.869765973003933,1.6266721646832984
57,12,3.7515526770612526,3.4655962325235614
58,121134429,18.304955009421263,1.3599616110116872
59,45033,8.524464116007731,8.943126855202246
60,3781,7.858220913052422,1.462152297498845
61,486093,12.872764233637692,1.2478144437346812
62,227437,12.2662433814883,1.0707827065305842
63,1331027,14.095933859024425,1.0055435882438852
64,717685,15.115671987249991,5.113508081361339
65,3166135,15.013380530589844,1.046402477839035
66,2058046,14.461750606138915,1.0784420623260909
67,3172,8.169044377916965,1.1125375267778002
68,4987095,15.32234308498406,1.105194425866293
69,1997291,14.497897552569702,1.0094496417718684
70,8755020,16.00182804882975,1.0168301866966631
71,41350,10.570704777222666,1.060932862737068
72,11,2.4732116672587776,1.0128467963244796
73,2363889,14.759193343293282,1.086948525106867
74,940676,13.381060216288244,1.4525133090305584
75,244579,11.887283746927752,1.6820558650979314
76,95234,11.421293796724902,1.0437390048188298
77,4245795,15.281173166563438,1.0199292848286787
78,168,3.524878295385644,5.098689763058395
79,15288,9.695036345112156,1.0619971814921478
80,864767,13.599260678007717,1.0735339344467627
81,5676669,15.959234082031843,1.502843213765408
82,114,4.296076102958378,1.5743427444464413
83,946981,13.759652057922304,1.0013842653472909
84,20,3.1840702699767367,1.1572414897036953
85,19671,9.762632013287476,1.132385308294301
86,1,1.6751537021383813,4.3396157963699755
87,1434018,14.489434515165597,1.3681276867288503
88,16153857,16.440703443153154,1.1699558720726693
89,4612417,16.00646572436803,1.9390594578424531
90,6220162,15.125492921406984,1.6783545145501215
91,206617055,18.70806768911456,1.550085329107779
92,70594,11.637422245757094,1.6043408426257153
93,193293744,18.49153466896794,1.8007206030228697
94,4714905,15.356903893423071,1.0093793591114575
95,93,3.6685533998893765,2.4348631497701083
96,1,2.7522262358916985,14.677494864940122
97,3079,8.017824619917466,1.0149761538012856
98,1,3.4283503127260593,29.825747936875764
99,133372936,18.843578283459607,1.1444434907865406
100,30151,8.760979865324872,4.726335880499878
101,4051006,15.200887938616399,1.0136808529147376
102,596661,13.294277087112407,1.0048406672471983
103,55,3.3942711869236324,1.9101910094939136
104,6614625,15.646399285460246,1.0601331775103262
105,1792,9.687424879850735,8.99145988683897
106,4922243,15.153923418748684,1.290915584964031
107,2915570,14.815615232368165,1.0724663911788015
108,320853,12.673124382547421,1.0056329105085047
109,83241709,17.941830175437087,1.3437025907629638
110,2154390,14.742919101638089,1.1733941444502174
111,15059258,16.489228286701113,1.039017226462496
112,8894283,16.123695883004512,1.1306317132698385
113,3799422,15.171862276274494,1.021735355718863
114,3651102,15.10939118136949,1.0011493506318343
115,295578,12.522408505368213,1.0771117778566779
116,46,3.459747193242948,1.4930734060094817
